    feature,importance
nearest_mrt_name_Cashew,1.17474144426186e-05
nearest_mrt_name_Havelock,1.1702783852013839e-05
street_name_SENJA RD,1.1692372158539714e-05
month_2023-07-01,1.1596505763192817e-05
nearest_supermarket_name_FP14,1.149140278700071e-05
nearest_top_primary_name.1_CHIJ Primary (Toa Payoh),1.1477340344100874e-05
month_2018-07-01,1.1465845202764486e-05
nearest_mrt_name_Tiong Bahru,1.1320735587280108e-05
nearest_mall_name_Hougang Mall,1.1314906546997877e-05
town_GEYLANG,1.1208595581279277e-05
month_2023-05-01,1.1135497235007942e-05
nearest_top_primary_name_Pei Hwa Presbyterian Primary School,1.1022266881280508e-05
nearest_mrt_name_Jurong East,1.100908233643148e-05
nearest_mall_name_Beauty World Centre,1.0773404743627282e-05
town_BEDOK,1.071016410859426e-05
nearest_supermarket_name_SS13,1.0687048398607268e-05
flat_model_Model A2,1.0677154976114545e-05
street_name_PANDAN GDNS,1.0638526800844225e-05
nearest_jc_name_Jurong Pioneer Junior College,1.0625505620528487e-05
nearest_supermarket_name_CS44,1.0622335971090068e-05
flat_model_Multi Generation,1.0547178918322726e-05
month_2021-03-01,1.0510921835558792e-05
town_CLEMENTI,1.0461441456334221e-05
nearest_top_secondary_name_Paya Lebar Methodist Girls' School (Secondary),1.0402417382030462e-05
flat_model_Adjoined flat,1.0365888736814734e-05
street_name_YISHUN AVE 11,1.0289284788647269e-05
nearest_top_primary_name.1_Pei Hwa Presbyterian Primary School,1.0280319835124005e-05
month_2024-03-01,1.0203569606865244e-05
month_2020-07-01,1.0189638247127536e-05
nearest_mrt_name_Clementi,1.0187848596168226e-05
nearest_mall_name_Rivervale Mall,1.0183578843812387e-05
nearest_mrt_name_Toa Payoh,1.0180302265445216e-05
month_2023-06-01,1.0178485338490585e-05
month_2018-06-01,1.0149201414578875e-05
street_name_BUANGKOK GREEN,1.0070722201368199e-05
postal_code_120118,9.935715572532571e-06
nearest_jc_name_Nanyang Junior College,9.93244497625324e-06
nearest_supermarket_name_GT4,9.85159549418057e-06
block_25,9.792966818862396e-06
nearest_top_primary_name.1_Rosyth School,9.729883099497943e-06
town_PUNGGOL,9.716228913708264e-06
street_name_SIMEI ST 5,9.595267938659323e-06
nearest_mrt_name_Boon Lay,9.47332196459316e-06
nearest_hawker_name_Tiong Bahru Market,9.451293821833625e-06
nearest_supermarket_name_FP100,9.426689879922494e-06
is_mrt_noise_zone,9.404243687249577e-06
street_name_JURONG WEST CTRL 1,9.383322054067074e-06
nearest_mall_name_Westgate,9.282933598199976e-06
nearest_mall_name_KINEX (OneKM),9.264814954802587e-06
nearest_mrt_name_Beauty World,9.212268917989047e-06
nearest_supermarket_name_GT34,9.15675918739207e-06
street_name_DELTA AVE,9.156114149595123e-06
nearest_top_primary_name_CHIJ Primary (Toa Payoh),9.111737323167407e-06
flat_type_MULTI-GENERATION,9.06572039211253e-06
nearest_mall_name_Hougang 1,9.063612791112652e-06
month_2019-05-01,8.984331953292024e-06
nearest_top_secondary_name_Tanjong Katong Secondary School,8.966379726860209e-06
nearest_top_primary_name.1_Holy Innocents' Primary School,8.966122575147481e-06
street_name_KIM TIAN RD,8.926500649987209e-06
street_name_CLEMENTI ST 14,8.910932296922201e-06
month_2018-04-01,8.818752272047809e-06
street_name_PUNGGOL FIELD,8.816859925819462e-06
nearest_supermarket_name_FP110,8.767331280602984e-06
postal_code_570025,8.755152328078592e-06
month_2019-10-01,8.742031602347425e-06
month_2020-06-01,8.688811913960872e-06
street_name_CHOA CHU KANG ST 51,8.641294230933531e-06
nearest_supermarket_name_GT9,8.623780634071541e-06
month_2018-09-01,8.619827878586494e-06
nearest_hawker_name_ABC Brickworks Food Centre,8.613143749180135e-06
nearest_mrt_name_Punggol,8.607491769882033e-06
nearest_mrt_name_Bedok,8.585723703640289e-06
month_2020-09-01,8.562545762676563e-06
nearest_mall_name_Rivervale Plaza,8.503677892921157e-06
month_2020-08-01,8.391059719984435e-06
month_2017-08-01,8.370146552849545e-06
street_name_UBI AVE 1,8.362601731895736e-06
remaining_lease_91 years 03 months,8.35690419988252e-06
nearest_mall_name_Mustafa Centre,8.345558993584157e-06
street_name_HAVELOCK RD,8.332075622813398e-06
town_BUKIT TIMAH,8.306690700215448e-06
nearest_supermarket_name_FP5,8.281355514438185e-06
street_name_LENGKONG TIGA,8.213546427774897e-06
street_name_DEPOT RD,8.17688992384768e-06
nearest_mrt_name_Great World,8.121270673802774e-06
town_BUKIT PANJANG,8.115207081885613e-06
month_2017-05-01,8.091819373995414e-06
month_2020-03-01,8.053122433501902e-06
street_name_MEI LING ST,7.932985311938115e-06
nearest_top_primary_name.1_Nanyang Primary School,7.92154508783084e-06
nearest_bus_interchange_name_Kovan Hub,7.913506571177355e-06
nearest_supermarket_name_SS58,7.900496063565997e-06
nearest_bus_interchange_name_Choa Chu Kang Interchange,7.868752881418545e-06
street_name_TAMPINES ST 22,7.866505743182878e-06
month_2021-05-01,7.864123890545575e-06
nearest_mrt_name_Holland Village,7.769501069323479e-06
month_2018-03-01,7.730112961681811e-06
nearest_mrt_name_Sengkang,7.692585332223204e-06
nearest_mrt_name_Queenstown,7.687670558220701e-06
town_TOA PAYOH,7.60012045105122e-06
estate_age_bucket_50y+,7.5381520927974395e-06
nearest_top_primary_name_Nanyang Primary School,7.520139238835943e-06
nearest_mrt_name_Dakota,7.519418513262897e-06
nearest_mall_name_Bedok Mall,7.450271877736895e-06
nearest_top_primary_name_Holy Innocents' Primary School,7.429003422105291e-06
estate_age_bucket_40–50y,7.42603377258741e-06
nearest_top_secondary_name_Catholic High School (Secondary),7.418834732388736e-06
month_2017-04-01,7.3421859312286765e-06
nearest_mall_name_The Star Vista,7.339809778908986e-06
nearest_top_secondary_name_St Anthony’s Canossian Secondary School,7.333714757956751e-06
nearest_top_primary_name_Rosyth School,7.28637128582914e-06
street_name_BISHAN ST 13,7.223524215392027e-06
nearest_supermarket_name_FP74,7.205520467571163e-06
month_2019-09-01,7.180654608283758e-06
month_2017-11-01,7.172630343729227e-06
street_name_JLN MA'MOR,7.089529184406998e-06
nearest_top_secondary_name_Anglican High School,7.076867959624953e-06
month_2019-04-01,7.0657079088207456e-06
nearest_mrt_name_Choa Chu Kang,7.0490785473440514e-06
nearest_supermarket_name_GT14,7.0390451113052755e-06
nearest_mall_name_IMM Mall,6.996540338947384e-06
month_2020-01-01,6.980466166725419e-06
nearest_mall_name_Causeway Point (Woodlands),6.919204334674552e-06
month_2019-07-01,6.903648097462564e-06
street_name_TOWNER RD,6.894585475180118e-06
nearest_mrt_name_Buona Vista,6.891977814506183e-06
nearest_mrt_name_Bishan,6.875723724069315e-06
street_name_TAMPINES ST 42,6.858600835024876e-06
month_2019-03-01,6.7736257992807685e-06
nearest_mall_name_Gek Poh Shopping Centre,6.733357277911978e-06
month_2018-05-01,6.712809359710379e-06
nearest_mrt_name_Pasir Ris,6.60986203201391e-06
nearest_top_primary_name_South View Primary School,6.605601284600732e-06
cbd_noise_band_Outer Ring (>6km),6.60416747121384e-06
street_name_PUNGGOL WALK,6.549031784823729e-06
month_2020-02-01,6.522045175191036e-06
nearest_mall_name_Bukit Panjang Plaza,6.510218235902136e-06
street_name_DAKOTA CRES,6.481983240676329e-06
nearest_mall_name_Compass One (Sengkang),6.44590018384277e-06
street_name_DAWSON RD,6.386663888134987e-06
